company,category,query,verdict,note
삼성바이오로직스(바이오),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
셀트리온(바이오),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
하이브(엔터),복합추론_Closed,계약 해지/정정 여부,FAIL(API에러),"ConnectionError(RemoteDisconnected), 총 49.1분(2945.4s) hang 후 실패 — API측 정체로 추정"
와이지엔터테인먼트(엔터),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
크래프톤(게임),복합추론_Closed,계약 해지/정정 여부,FAIL(API에러),"HCXError 400 Bad Request(연결에러 아님, 명확히 다른 유형), 총 97.4분(5841.4s) hang 후 실패 — 하이브와 동일 event_analysis 계약해지/정정 질문 템플릿에서 발생, 이 템플릿이 유독 hang/실패에 취약할 가능성(원인 특정 못함, 후속조사 필요)"
두산로보틱스(로봇),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
레인보우로보틱스(로봇),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
한화에어로스페이스(방산),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
한국항공우주(방산),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
이마트(유통),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
LG생활건강(화장품),복합추론_Closed,계약 해지/정정 여부,PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
아모레퍼시픽(화장품),복합추론_Closed,최근 기재정정 이력,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
POSCO홀딩스(철강),복합추론_Open,자사주 취득/처분 이력,PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
고려아연(비철금속),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
HMM(해운),복합추론_Open,최근 공시 이력 종합,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
현대글로비스(물류),복합추론_Open,자사주 취득/처분 이력,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
대우건설(건설),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
케이티(통신),복합추론_Open,최근 공시 이력 종합,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
LG유플러스(통신),복합추론_Open,자사주 취득/처분 이력,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
미래에셋증권(증권),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
에코프로비엠(2차전지소재),복합추론_Open,최근 공시 이력 종합,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
현대모비스(자동차부품),복합추론_Open,자사주 취득/처분 이력,PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
삼성전기(전자부품),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
삼성전자(IT/반도체),복합추론_Open,최근 공시 이력 종합,PASS,"자동신호 통과(grounded/citation 모두 True, route=single_lookup) — 답변 내용 스팟체크, 원문 미대조"
삼성SDI(2차전지),복합추론_Open,자사주 취득/처분 이력,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
LG에너지솔루션(2차전지),복합추론_Open,계약 해지 이력(시간순),PARTIAL(인용누락),"grounded=True(내용 자체는 evidence와 부합)이나 답변 말미에 '근거: report_id(...)' 인용 문구를 빠뜨림 — validator가 정확히 citation=False로 잡음(오탐 아닌 실제 답변 생성 누락, 7건 공통 패턴)"
한미반도체(반도체),복합추론_Open,최근 공시 이력 종합,FAIL(API에러),"ConnectionError(RemoteDisconnected), 총 45.2분(2714.4s) hang 후 실패"
KB금융(금융),복합추론_Open,자사주 취득/처분 이력,FAIL(API에러),"ConnectionError(RemoteDisconnected), 총 51.0분(3061.1s) hang 후 실패"
알테오젠(바이오),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
HD현대중공업(조선),복합추론_Open,최근 공시 이력 종합,"PASS(검증오탐,수정완료)","validator가 evidence 텍스트의 '(2023.12)'류 날짜 표기를 '2023.12' 한 토큰으로만 추출해, 답변이 같은 연도를 점 없이 따로 쓰면('2023년 3월 12일') 문자 그대로 있는데도 '근거없는 숫자'로 오탐. get_correction_history 실결과로 직접 재현/검증(기아 사례) 후 validator.py _extract_numbers에 소수점 하위토큰 등록 로직 추가로 수정 완료, 회귀테스트 추가, 전체 테스트 통과 확인."
현대자동차(자동차),복합추론_Open,자사주 취득/처분 이력,PASS,"자동신호 통과(grounded/citation 모두 True, route=ownership_analysis) — 답변 내용 스팟체크, 원문 미대조"
현대건설(건설),복합추론_Open,계약 해지 이력(시간순),PASS,"자동신호 통과(grounded/citation 모두 True, route=event_analysis) — 답변 내용 스팟체크, 원문 미대조"
